,dteday,mnth,season,casual,registered,cnt,weekday
0,2016-01-01,1,1,2,16,18,5
1,2016-01-02,1,1,1,16,17,6
2,2016-01-03,1,1,1,23,24,0
3,2016-01-04,1,1,1,76,77,1
4,2016-01-05,1,1,2,85,87,2
5,2016-01-06,1,1,1,105,106,3
6,2016-01-07,1,1,3,103,106,4
7,2016-01-08,1,1,5,66,71,5
8,2016-01-09,1,1,0,38,38,6
9,2016-01-10,1,1,0,19,19,0
10,2016-01-11,1,1,0,46,46,1
11,2016-01-12,1,1,0,37,37,2
12,2016-01-13,1,1,0,47,47,3
13,2016-01-14,1,1,1,105,106,4
14,2016-01-15,1,1,4,90,94,5
15,2016-01-16,1,1,4,40,44,6
16,2016-01-17,1,1,0,15,15,0
17,2016-01-18,1,1,0,37,37,1
18,2016-01-19,1,1,0,58,58,2
19,2016-01-20,1,1,0,50,50,3
20,2016-01-21,1,1,1,72,73,4
21,2016-01-22,1,1,1,91,92,5
22,2016-01-23,1,1,1,42,43,6
23,2016-01-24,1,1,0,37,37,0
24,2016-01-25,1,1,9,71,80,1
25,2016-01-26,1,1,2,94,96,2
26,2016-01-27,1,1,1,69,70,3
27,2016-01-28,1,1,0,98,98,4
28,2016-01-29,1,1,4,88,92,5
29,2016-01-30,1,1,13,66,79,6
30,2016-01-31,1,1,5,39,44,0
31,2016-02-01,2,1,11,109,120,1
32,2016-02-02,2,1,0,61,61,2
33,2016-02-03,2,1,2,77,79,3
34,2016-02-04,2,1,1,97,98,4
35,2016-02-05,2,1,4,83,87,5
36,2016-02-06,2,1,14,60,74,6
37,2016-02-07,2,1,6,57,63,0
38,2016-02-08,2,1,1,75,76,1
39,2016-02-09,2,1,1,65,66,2
40,2016-02-10,2,1,1,51,52,3
41,2016-02-11,2,1,1,65,66,4
42,2016-02-12,2,1,3,64,67,5
43,2016-02-13,2,1,0,27,27,6
44,2016-02-14,2,1,0,14,14,0
45,2016-02-15,2,1,3,43,46,1
46,2016-02-16,2,1,2,72,74,2
47,2016-02-17,2,1,1,94,95,3
48,2016-02-18,2,1,4,102,106,4
49,2016-02-19,2,1,4,107,111,5
50,2016-02-20,2,1,68,100,168,6
51,2016-02-21,2,1,7,49,56,0
52,2016-02-22,2,1,3,96,99,1
53,2016-02-23,2,1,1,98,99,2
54,2016-02-24,2,1,0,53,53,3
55,2016-02-25,2,1,1,99,100,4
56,2016-02-26,2,1,3,91,94,5
57,2016-02-27,2,1,33,74,107,6
58,2016-02-28,2,1,46,78,124,0
59,2016-02-29,2,1,7,105,112,1
60,2016-03-01,3,1,0,64,64,2
61,2016-03-02,3,1,4,77,81,3
62,2016-03-03,3,1,2,66,68,4
63,2016-03-04,3,1,1,85,86,5
64,2016-03-05,3,1,8,45,53,6
65,2016-03-06,3,1,17,63,80,0
66,2016-03-07,3,1,18,142,160,1
67,2016-03-08,3,1,41,165,206,2
68,2016-03-09,3,1,23,162,185,3
69,2016-03-10,3,1,10,139,149,4
70,2016-03-11,3,1,19,138,157,5
71,2016-03-12,3,1,39,88,127,6
72,2016-03-13,3,1,7,24,31,0
73,2016-03-14,3,1,24,122,146,1
74,2016-03-15,3,1,13,148,161,2
75,2016-03-16,3,1,14,110,124,3
76,2016-03-17,3,1,27,128,155,4
77,2016-03-18,3,1,15,124,139,5
78,2016-03-19,3,1,16,59,75,6
79,2016-03-20,3,1,27,44,71,0
80,2016-03-21,3,2,21,125,146,1
81,2016-03-22,3,2,32,152,184,2
82,2016-03-23,3,2,10,90,100,3
83,2016-03-24,3,2,1,46,47,4
84,2016-03-25,3,2,22,93,115,5
85,2016-03-26,3,2,60,93,153,6
86,2016-03-27,3,2,44,54,98,0
87,2016-03-28,3,2,5,122,127,1
88,2016-03-29,3,2,19,137,156,2
89,2016-03-30,3,2,13,140,153,3
90,2016-03-31,3,2,13,109,122,4
91,2016-04-01,4,2,14,98,112,5
92,2016-04-02,4,2,15,48,63,6
93,2016-04-03,4,2,40,68,108,0
94,2016-04-04,4,2,1,90,91,1
95,2016-04-05,4,2,10,101,111,2
96,2016-04-06,4,2,2,74,76,3
97,2016-04-07,4,2,2,95,97,4
98,2016-04-08,4,2,0,82,82,5
99,2016-04-09,4,2,11,41,52,6
100,2016-04-10,4,2,2,28,30,0
101,2016-04-11,4,2,11,153,164,1
102,2016-04-12,4,2,4,138,142,2
103,2016-04-13,4,2,18,136,154,3
104,2016-04-14,4,2,18,164,182,4
105,2016-04-15,4,2,38,167,205,5
106,2016-04-16,4,2,152,147,299,6
107,2016-04-17,4,2,160,134,294,0
