,dteday,mnth,season,casual,registered,cnt,weekday
0,2016-01-01,1,1,18,41,59,5
1,2016-01-02,1,1,32,77,109,6
2,2016-01-03,1,1,23,73,96,0
3,2016-01-04,1,1,6,101,107,1
4,2016-01-05,1,1,4,83,87,2
5,2016-01-06,1,1,2,109,111,3
6,2016-01-07,1,1,3,123,126,4
7,2016-01-08,1,1,8,107,115,5
8,2016-01-09,1,1,14,91,105,6
9,2016-01-10,1,1,13,89,102,0
10,2016-01-11,1,1,6,111,117,1
11,2016-01-12,1,1,5,125,130,2
12,2016-01-13,1,1,6,114,120,3
13,2016-01-14,1,1,7,148,155,4
14,2016-01-15,1,1,17,124,141,5
15,2016-01-16,1,1,27,84,111,6
16,2016-01-17,1,1,13,43,56,0
17,2016-01-18,1,1,4,48,52,1
18,2016-01-19,1,1,0,78,78,2
19,2016-01-20,1,1,1,78,79,3
20,2016-01-21,1,1,3,96,99,4
21,2016-01-22,1,1,0,54,54,5
22,2016-01-27,1,1,0,11,11,3
23,2016-01-28,1,1,0,41,41,4
24,2016-01-29,1,1,0,49,49,5
25,2016-01-30,1,1,4,55,59,6
26,2016-01-31,1,1,6,59,65,0
27,2016-02-01,2,1,1,77,78,1
28,2016-02-02,2,1,2,108,110,2
29,2016-02-03,2,1,1,77,78,3
30,2016-02-04,2,1,7,134,141,4
31,2016-02-05,2,1,7,124,131,5
32,2016-02-06,2,1,15,85,100,6
33,2016-02-07,2,1,10,82,92,0
34,2016-02-08,2,1,7,118,125,1
35,2016-02-09,2,1,1,87,88,2
36,2016-02-10,2,1,3,89,92,3
37,2016-02-11,2,1,2,88,90,4
38,2016-02-12,2,1,7,77,84,5
39,2016-02-13,2,1,1,27,28,6
40,2016-02-14,2,1,12,32,44,0
41,2016-02-15,2,1,1,6,7,1
42,2016-02-16,2,1,2,65,67,2
43,2016-02-17,2,1,5,108,113,3
44,2016-02-18,2,1,5,101,106,4
45,2016-02-19,2,1,9,113,122,5
46,2016-02-20,2,1,57,98,155,6
47,2016-02-21,2,1,16,75,91,0
48,2016-02-22,2,1,9,124,133,1
49,2016-02-23,2,1,0,49,49,2
50,2016-02-24,2,1,2,57,59,3
51,2016-02-25,2,1,1,125,126,4
52,2016-02-26,2,1,5,94,99,5
53,2016-02-27,2,1,22,100,122,6
54,2016-02-28,2,1,57,106,163,0
55,2016-02-29,2,1,16,145,161,1
56,2016-03-01,3,1,13,156,169,2
57,2016-03-02,3,1,5,96,101,3
58,2016-03-03,3,1,6,118,124,4
59,2016-03-04,3,1,3,100,103,5
60,2016-03-05,3,1,19,85,104,6
61,2016-03-06,3,1,33,76,109,0
62,2016-03-07,3,1,28,144,172,1
63,2016-03-08,3,1,28,179,207,2
64,2016-03-09,3,1,41,185,226,3
65,2016-03-10,3,1,27,171,198,4
66,2016-03-11,3,1,51,164,215,5
67,2016-03-12,3,1,83,136,219,6
68,2016-03-13,3,1,32,78,110,0
69,2016-03-14,3,1,15,143,158,1
70,2016-03-15,3,1,22,136,158,2
71,2016-03-16,3,1,85,179,264,3
72,2016-03-17,3,1,44,179,223,4
73,2016-03-18,3,1,47,160,207,5
74,2016-03-19,3,1,10,52,62,6
75,2016-03-20,3,1,13,73,86,0
76,2016-03-21,3,2,15,157,172,1
77,2016-03-22,3,2,23,149,172,2
78,2016-03-23,3,2,55,184,239,3
79,2016-03-24,3,2,71,190,261,4
80,2016-03-25,3,2,71,159,230,5
81,2016-03-26,3,2,129,155,284,6
82,2016-03-27,3,2,71,91,162,0
83,2016-03-28,3,2,27,135,162,1
84,2016-03-29,3,2,35,177,212,2
85,2016-03-30,3,2,41,197,238,3
86,2016-03-31,3,2,45,179,224,4
87,2016-04-01,4,2,50,173,223,5
88,2016-04-02,4,2,71,108,179,6
89,2016-04-03,4,2,20,94,114,0
90,2016-04-04,4,2,16,128,144,1
91,2016-04-05,4,2,12,137,149,2
92,2016-04-06,4,2,18,155,173,3
93,2016-04-07,4,2,11,90,101,4
94,2016-04-08,4,2,32,155,187,5
95,2016-04-09,4,2,18,63,81,6
96,2016-04-10,4,2,56,94,150,0
97,2016-04-11,4,2,28,165,193,1
98,2016-04-12,4,2,14,173,187,2
99,2016-04-13,4,2,19,163,182,3
100,2016-04-14,4,2,15,172,187,4
101,2016-04-15,4,2,42,181,223,5
102,2016-04-16,4,2,107,138,245,6
103,2016-04-17,4,2,104,126,230,0
104,2016-04-18,4,2,48,166,214,1
105,2016-04-19,4,2,42,184,226,2
106,2016-04-20,4,2,32,212,244,3
107,2016-04-21,4,2,38,214,252,4
108,2016-04-22,4,2,44,160,204,5
109,2016-04-23,4,2,52,116,168,6
110,2016-04-24,4,2,81,160,241,0
