,dteday,mnth,season,casual,registered,cnt,weekday
0,2016-01-01,1,1,44,161,205,5
1,2016-01-02,1,1,53,254,307,6
2,2016-01-03,1,1,45,275,320,0
3,2016-01-04,1,1,22,402,424,1
4,2016-01-05,1,1,5,345,350,2
5,2016-01-06,1,1,18,485,503,3
6,2016-01-07,1,1,18,509,527,4
7,2016-01-08,1,1,21,539,560,5
8,2016-01-09,1,1,29,361,390,6
9,2016-01-10,1,1,15,279,294,0
10,2016-01-11,1,1,15,442,457,1
11,2016-01-12,1,1,12,491,503,2
12,2016-01-13,1,1,9,412,421,3
13,2016-01-14,1,1,10,462,472,4
14,2016-01-15,1,1,20,591,611,5
15,2016-01-16,1,1,41,342,383,6
16,2016-01-17,1,1,22,219,241,0
17,2016-01-18,1,1,11,238,249,1
18,2016-01-19,1,1,6,357,363,2
19,2016-01-20,1,1,4,455,459,3
20,2016-01-21,1,1,7,455,462,4
21,2016-01-22,1,1,7,402,409,5
22,2016-01-27,1,1,2,129,131,3
23,2016-01-28,1,1,3,236,239,4
24,2016-01-29,1,1,8,338,346,5
25,2016-01-30,1,1,18,214,232,6
26,2016-01-31,1,1,23,299,322,0
27,2016-02-01,2,1,10,495,505,1
28,2016-02-02,2,1,15,554,569,2
29,2016-02-03,2,1,3,279,282,3
30,2016-02-04,2,1,13,534,547,4
31,2016-02-05,2,1,3,247,250,5
32,2016-02-06,2,1,27,330,357,6
33,2016-02-07,2,1,31,308,339,0
34,2016-02-08,2,1,4,347,351,1
35,2016-02-09,2,1,11,460,471,2
36,2016-02-10,2,1,5,442,447,3
37,2016-02-11,2,1,3,368,371,4
38,2016-02-12,2,1,7,316,323,5
39,2016-02-13,2,1,4,139,143,6
40,2016-02-14,2,1,4,87,91,0
41,2016-02-15,2,1,2,115,117,1
42,2016-02-16,2,1,5,279,284,2
43,2016-02-17,2,1,9,479,488,3
44,2016-02-18,2,1,15,422,437,4
45,2016-02-19,2,1,12,404,416,5
46,2016-02-20,2,1,87,451,538,6
47,2016-02-21,2,1,56,320,376,0
48,2016-02-22,2,1,31,546,577,1
49,2016-02-23,2,1,10,346,356,2
50,2016-02-24,2,1,2,178,180,3
51,2016-02-25,2,1,10,480,490,4
52,2016-02-26,2,1,21,449,470,5
53,2016-02-27,2,1,40,320,360,6
54,2016-02-28,2,1,107,370,477,0
55,2016-02-29,2,1,22,536,558,1
56,2016-03-01,3,1,31,544,575,2
57,2016-03-02,3,1,16,534,550,3
58,2016-03-03,3,1,22,497,519,4
59,2016-03-04,3,1,9,351,360,5
60,2016-03-05,3,1,41,312,353,6
61,2016-03-06,3,1,41,317,358,0
62,2016-03-07,3,1,40,619,659,1
63,2016-03-08,3,1,39,671,710,2
64,2016-03-09,3,1,65,768,833,3
65,2016-03-10,3,1,65,772,837,4
66,2016-03-11,3,1,71,713,784,5
67,2016-03-12,3,1,178,507,685,6
68,2016-03-13,3,1,125,413,538,0
69,2016-03-14,3,1,11,190,201,1
70,2016-03-15,3,1,53,604,657,2
71,2016-03-16,3,1,63,644,707,3
72,2016-03-17,3,1,49,636,685,4
73,2016-03-18,3,1,56,648,704,5
74,2016-03-19,3,1,75,379,454,6
75,2016-03-20,3,1,38,317,355,0
76,2016-03-21,3,2,31,462,493,1
77,2016-03-22,3,2,50,605,655,2
78,2016-03-23,3,2,77,761,838,3
79,2016-03-24,3,2,61,674,735,4
80,2016-03-25,3,2,95,577,672,5
81,2016-03-26,3,2,146,397,543,6
82,2016-03-27,3,2,141,329,470,0
83,2016-03-28,3,2,20,385,405,1
84,2016-03-29,3,2,34,592,626,2
85,2016-03-30,3,2,60,633,693,3
86,2016-03-31,3,2,75,684,759,4
87,2016-04-01,4,2,79,649,728,5
88,2016-04-02,4,2,57,336,393,6
89,2016-04-03,4,2,28,269,297,0
90,2016-04-04,4,2,6,251,257,1
91,2016-04-05,4,2,20,472,492,2
92,2016-04-06,4,2,31,567,598,3
93,2016-04-07,4,2,25,590,615,4
94,2016-04-08,4,2,35,545,580,5
95,2016-04-09,4,2,20,238,258,6
96,2016-04-10,4,2,85,383,468,0
97,2016-04-11,4,2,47,591,638,1
98,2016-04-12,4,2,21,456,477,2
99,2016-04-13,4,2,49,708,757,3
100,2016-04-14,4,2,58,670,728,4
101,2016-04-15,4,2,74,694,768,5
102,2016-04-16,4,2,200,513,713,6
103,2016-04-17,4,2,227,574,801,0
104,2016-04-18,4,2,103,803,906,1
105,2016-04-19,4,2,72,839,911,2
106,2016-04-20,4,2,80,835,915,3
107,2016-04-21,4,2,105,796,901,4
108,2016-04-22,4,2,201,796,997,5
109,2016-04-23,4,2,181,448,629,6
110,2016-04-24,4,2,215,504,719,0
111,2016-04-25,4,2,99,764,863,1
112,2016-04-26,4,2,53,672,725,2
113,2016-04-27,4,2,102,722,824,3
114,2016-04-28,4,2,67,697,764,4
115,2016-04-29,4,2,61,613,674,5
116,2016-04-30,4,2,231,533,764,6
117,2016-05-01,5,2,20,205,225,0
118,2016-05-02,5,2,78,744,822,1
119,2016-05-03,5,2,24,410,434,2
120,2016-05-04,5,2,43,618,661,3
121,2016-05-05,5,2,60,747,807,4
122,2016-05-06,5,2,21,336,357,5
123,2016-05-07,5,2,149,471,620,6
124,2016-05-08,5,2,136,496,632,0
125,2016-05-09,5,2,100,849,949,1
126,2016-05-10,5,2,63,779,842,2
127,2016-05-11,5,2,105,904,1009,3
128,2016-05-12,5,2,143,972,1115,4
129,2016-05-13,5,2,50,612,662,5
130,2016-05-14,5,2,241,590,831,6
131,2016-05-15,5,2,130,467,597,0
132,2016-05-16,5,2,114,797,911,1
133,2016-05-17,5,2,86,789,875,2
134,2016-05-18,5,2,76,822,898,3
135,2016-05-19,5,2,102,908,1010,4
136,2016-05-20,5,2,138,936,1074,5
137,2016-05-21,5,2,113,532,645,6
138,2016-05-22,5,2,172,619,791,0
139,2016-05-23,5,2,91,873,964,1
140,2016-05-24,5,2,42,645,687,2
141,2016-05-25,5,2,90,988,1078,3
142,2016-05-26,5,2,75,934,1009,4
143,2016-05-27,5,2,93,840,933,5
144,2016-05-28,5,2,184,522,706,6
145,2016-05-29,5,2,262,491,753,0
146,2016-05-30,5,2,138,463,601,1
147,2016-05-31,5,2,70,887,957,2
148,2016-06-01,6,2,91,1068,1159,3
149,2016-06-02,6,2,90,1072,1162,4
150,2016-06-03,6,2,54,766,820,5
151,2016-06-04,6,2,188,620,808,6
152,2016-06-05,6,2,65,427,492,0
153,2016-06-06,6,2,84,919,1003,1
154,2016-06-07,6,2,61,932,993,2
155,2016-06-08,6,2,26,787,813,3
156,2016-06-09,6,2,79,977,1056,4
157,2016-06-10,6,2,99,918,1017,5
158,2016-06-11,6,2,172,580,752,6
159,2016-06-12,6,2,169,629,798,0
160,2016-06-13,6,2,77,974,1051,1
161,2016-06-14,6,2,67,1077,1144,2
162,2016-06-15,6,2,74,1046,1120,3
163,2016-06-16,6,2,52,861,913,4
164,2016-06-17,6,2,106,949,1055,5
165,2016-06-18,6,2,286,693,979,6
166,2016-06-19,6,2,259,643,902,0
167,2016-06-20,6,2,71,965,1036,1
168,2016-06-21,6,3,62,993,1055,2
169,2016-06-22,6,3,78,1004,1082,3
170,2016-06-23,6,3,64,975,1039,4
